jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
131.7,111.9,52.2,68,72.5,94.3,104.4,121.5,79.1,123.9,137.1,170,avrg
81,61.1,74.2,76,62.3,74.5,55.5,110.4,70.2,95.2,81.7,129,light
66,40.4,58.4,69.2,80.9,62.7,88.5,77.3,63.6,67.3,105.1,146.1,light
162.2,156.1,162.3,54.9,54.1,58.1,139.9,138.3,92.6,211.5,73,92.2,heavy
87.3,110.4,63.7,93.5,80.5,51.6,56.2,122.1,79.7,43.8,49.5,97.4,light
45.5,60.6,126.9,79.3,48.9,37.4,64.8,115.1,67.3,99.8,169.7,63.5,light
114.2,68.1,74.7,44.1,159.1,36.5,57.6,142.3,41.5,170.5,146.7,84.9,avrg
56.5,71.6,70.4,72.2,115.7,124.6,69.7,114.9,34.7,163.7,75.1,121.7,avrg
88.9,65.5,138.9,53.1,60.6,49.1,85.8,82,137.2,65.3,75.3,82,light
97.5,43.7,138.3,105.5,83.5,49.3,94.2,68.2,60.1,153.4,54.3,113.9,avrg
105.8,111.1,63.3,107.7,53.4,47.7,115.2,179.4,30.9,82.1,128.4,118.7,avrg
51.6,97.3,59.7,67.6,54.4,74.7,54.7,57.1,39.5,87.9,169.7,185.3,light
127.5,92.4,100.5,25.2,54.8,109.8,64.7,139.9,78.3,124.1,94.8,161.5,avrg
130,58.2,150,90.7,111.5,68.7,23.4,40.2,78.7,69.1,93.3,79.8,light
77.3,121.5,124,47.4,67.4,41.5,84.2,75,39.5,67.6,153,211.3,avrg
93.2,167.5,66,57.5,37.4,42.2,114.4,95,74.4,104.7,86.1,199.4,avrg
121.2,123.9,92.2,85.3,112.5,94.9,138.8,107.5,49.9,181,156.8,126.3,heavy
75.7,28.7,65.7,57.5,65.7,62.8,50.2,162.1,62.5,137.4,130.8,54.9,light
96.9,109.3,37.6,28.1,78.8,35.1,137.2,79.7,147,118.8,91.9,88,avrg
110.7,46.6,84.8,83.8,32.8,60,24.1,69.6,82.3,71.6,152.5,163.3,light
121.5,106.9,109.7,72.7,107,32.9,93.9,114.1,66.3,91.5,96.6,121.2,avrg
140.5,22.3,116.8,32.5,68.8,23.1,78.9,124.3,50.4,88.3,74.1,115.5,light
138.6,97.4,67.7,88.3,57.1,52.9,115.7,68.2,73.6,62.7,64,102.8,light
98.1,190.6,48.5,85.4,90.4,34.8,75.1,160.9,104,127.7,108.9,102.3,avrg
84.4,45,29,56.7,134.2,56.9,138.5,113.5,137.8,109.2,74.1,158.5,avrg
98.5,154.8,66.6,111.9,136.9,19.7,66.5,80.2,107.8,97.3,43.8,111.2,avrg
154.4,121.2,61.8,76.2,81.1,99,81.1,75.9,112.9,155.7,169.2,37.6,avrg
114.6,51.1,86.9,70.8,73.2,102.5,91,147.7,176.7,145.3,111.6,67.3,avrg
205.9,87,138.1,47.2,45.8,116.4,61.8,142.2,91.6,146.9,129.1,102.2,heavy
46.2,50.9,14.9,49.5,73.1,61.9,98.5,122.9,31.3,123.3,131.3,214.3,avrg
122.5,36.2,61.9,62.2,48,61.6,92,182,141.3,139.4,137.7,118.6,avrg
101.5,78.3,36.4,74.1,104.6,128.6,123.6,89.3,44.5,67,178.3,74.9,avrg
134.3,9.9,85.6,106.1,87.7,32.9,105.2,40.1,93.8,207.2,74.6,148.5,avrg
103.6,108.2,57.4,55.4,45.5,44.5,102.1,46.7,50.1,131.9,91.6,39.7,light
114.1,17.1,96.7,148.3,78.1,49.4,90.3,121.3,107.7,149.8,54.2,181.9,avrg
54.6,98.5,55.6,115.1,31.8,107.8,40.3,76,137.5,183.6,139.1,77.8,avrg
139.3,91,68.4,34.6,35.4,48.2,133.4,56.7,98.1,87.5,86.4,122,avrg
190.3,112.3,92.3,46.6,70.5,53.4,113.4,94.5,59.2,95.4,27.6,109.7,avrg
155.6,54.8,48.7,14.6,97.6,123.1,120.9,58.6,101,170.7,171.1,113.8,avrg
129.9,106.9,95,48.7,35.3,56.7,131.9,57.2,67,138.6,162,59.1,avrg
47,54,96.4,70.8,43.5,23.6,183.6,44.8,74,131.2,176,101.9,avrg
82.1,128.1,65.4,56.6,74.9,26.9,87.3,120,37.1,130.9,145.1,66.2,avrg
127.3,57.3,61.4,59.7,93,37.4,82.9,94.7,112.2,118.9,27.4,122.8,light
130.4,80.4,46.8,66.4,109.1,79,61.6,139.7,95.4,148.5,75.1,50.5,avrg
95,51.7,27.8,68.9,81.1,87.5,76.8,70.2,116.3,124.5,161.4,120,avrg
126.2,112.1,52.9,47.3,124.8,89.6,87.7,88.3,121.8,133.6,29.4,148.1,avrg
99.3,69.2,68.4,24.5,55.6,86.7,122.5,117.6,144.8,15.5,184.8,113.4,avrg
129.2,60.7,119.4,146.1,104.6,88.6,89.5,3.8,93.1,59.2,129.6,64.4,avrg
164.3,96.2,64.5,65.1,78.8,135.6,82.8,206.2,101.6,111.3,61.6,151.5,heavy
89.6,78.6,55.1,71.5,61.4,40.7,59.2,108.8,50.6,134,118.3,145.7,avrg
70.8,114.6,80.2,84.5,46.4,52.8,122.8,115.7,198.2,74.4,121.4,66.4,avrg
114.2,105.4,82.5,94.2,54.3,57.2,99.6,132.4,64.8,28.7,232.6,116.1,avrg
83.7,35.5,84.8,54.4,66.6,77.6,59.3,106.2,67.1,113.1,88.1,106.6,light
42,44.1,21.8,81.3,67.4,73.3,126.7,69.1,106.3,60.9,118.6,112.5,light
86.4,92.2,79.8,37,138.6,73.9,79.2,111.5,106.8,188.9,184.4,153.2,heavy
62.9,82.5,51.4,35.8,79.9,42.4,32.6,26.9,65.6,101,56.3,184.1,light
95.6,59.1,60,37.7,41.1,83.3,134.1,168.5,123.3,81.9,45.8,150.7,avrg
131.9,102.3,87.5,39.7,57.1,56.2,141.4,135.8,70.6,77,55.1,137.6,avrg
100.1,90.4,82.4,54.9,89.2,82.9,149.1,114.2,98.6,77.5,31.9,149.8,avrg
70.1,26.5,62.9,84.3,32.4,69.3,95.6,35.8,25.1,117.2,179.7,180.2,light
123.9,112.3,58.6,88.7,55.2,55.8,94.3,137.1,77.6,175.6,136.1,101.1,avrg
108.5,90.4,44.2,87.9,47.2,40.9,95.5,119.5,113.5,148.5,72.2,101.3,avrg
155.2,79,52.4,60.5,63.9,48,92.4,145.7,150.6,46.1,98.5,117.7,avrg
54.1,52.2,135.5,78.8,80.7,102.1,67.4,156.6,93.9,84.8,195.5,46.4,avrg
41.8,42.2,94.2,75.4,68.5,71.6,51.3,125.1,92.9,63.8,65.3,113.4,light
107.2,31.3,67.9,80.4,73.5,88.9,109.2,77.6,152.4,93.7,102.3,108.3,avrg
74.4,121.6,64.4,76.9,90.3,139.8,52.3,127.6,77.8,125.5,107.7,140.7,avrg
104.6,116,108.7,46.7,149.1,46.6,68.8,77.4,107,167.9,89.2,63.5,avrg
82.5,65.4,79.2,77.6,119.5,47.9,111.8,54.5,107.9,151.3,75,86,avrg
127.8,74.5,48.7,68.3,134.2,81.7,48.5,73.3,67.5,58.5,117.5,84.6,light
125.1,99.9,57.1,71.4,48.8,63.4,119.2,115.6,102.7,100.7,140.9,61.3,avrg
110.8,53.1,77.2,52,67.5,59.5,91.8,82.1,34.9,89.7,89.3,67.8,light
149.6,101.7,63.6,78.7,104.2,82.9,47.3,54.6,16,35,98,96.4,light
70.5,42.3,32.7,69.7,81.5,55.4,82.5,72.2,61.7,60.9,82.8,109.4,light
204.8,88.6,73.5,24.3,65.2,53.7,75.1,76,95.7,87.7,148.7,143.5,avrg
175.5,40.7,45,78.9,37.8,53.9,91.5,71.2,144.9,48.8,78.6,40.9,light
113.2,59.4,110.7,40.7,109.1,34.9,53.1,24.3,146.9,199.8,84.3,100.2,avrg
96.7,128.9,112.6,76,63.6,72.1,46.8,93.8,101.1,133.1,134.7,82.4,avrg
126.6,109.6,120.6,65.4,41.8,52.4,86.1,100.7,104.4,42.9,123,200.7,avrg
75.2,25.6,139.6,82.8,93.5,54.8,73.6,113.5,55.2,135.7,121.6,156.4,avrg
98.3,91.4,115.2,12.3,26.3,119.4,87,108.2,94.2,118.8,130.4,125.5,avrg
81.5,60.7,124.3,23.6,73.9,73.9,74.1,21.5,179.5,152.8,125,80.4,avrg
112,78.1,110.6,34,67.2,59.6,41.6,109.7,147.1,196.1,151.5,136.1,avrg
140.5,52.2,92.8,77.3,124.1,71,24.6,28.7,135.7,132.8,29.7,149.7,avrg
180.1,78.7,126.8,23.6,27.7,56.6,45.4,30.8,127.2,138.8,262.4,112.6,avrg
84.3,23.5,87.1,89.7,76,91.2,144.3,184.2,157.5,46,115,144.6,avrg
140.5,36.9,91.8,81.1,139.9,62,65.1,114.7,32.1,91.7,129.5,194.4,avrg
62.2,63.2,113.4,74.3,57.8,103.2,92.1,95.2,88,134.4,75.3,93.4,avrg
159,89.5,113.9,76,60.5,23.1,174.1,124.8,99.4,152.7,78.2,64,avrg
93.7,136.7,124.7,51.2,47.8,58.2,25.8,120.7,64.3,102.1,39.2,75.2,light
173.5,204.9,104.1,48.3,46.7,119.3,45.1,72.2,72.7,169.3,70.3,127.9,avrg
108.5,93,102,84,28.6,120.2,78.9,37.4,79.7,125.5,136.4,80.1,avrg
83.1,85.2,151.1,83.3,54.1,37.8,66.8,172.1,134,87,129.2,89,avrg
222.9,24.2,76.1,115.2,123.7,60.7,80.7,61.3,93.5,140.1,63.1,155.8,avrg
155.7,107.4,152.9,81.2,18.8,65.7,47.5,66.9,65.8,93.9,122.8,152.5,avrg
149.6,132.1,86.2,46.8,78.6,38.7,55.8,22.5,195.1,157.7,106.2,69.6,avrg
94.6,110.3,60.6,84.7,65.6,37,57.6,62.9,40,155.4,130.4,87.2,light
30.9,186,74.8,33.8,115.1,129.5,66.3,55.4,62.6,52.3,153.6,140.9,avrg
121.9,75.6,81.8,147.4,55.3,97.7,133.5,81.5,99.3,174.5,133.8,112.5,heavy
149.3,78.1,73.6,86.5,89.7,98,63.7,50,144,84.5,123.1,185.5,avrg
113.7,112.6,72.3,133.5,64.9,61,55.6,110.4,155,166.7,158.3,158.2,heavy
73.7,108,86.5,62.6,26,64.8,82.7,104.1,79.3,179,84.6,75.3,avrg
152.6,171.3,83.7,54.2,104.9,110.7,137.6,99.9,36.5,208,183.2,98.7,heavy
117.2,38,54.7,57.9,106.2,51.7,62.3,24.8,49.2,53.8,110.9,114.1,light
131.1,64.5,69,106.4,50.1,118.2,61.4,198.5,87.3,198.9,60.5,87.9,avrg
155,83.2,79.7,104.6,94.7,82.1,39.4,75.9,66.5,175.8,127.9,77.4,avrg
64.3,64.5,126.4,44.1,92.4,49.8,52.3,82.2,119.9,148.6,153.9,173.7,avrg
146,120.1,90.4,26.4,101.5,128.3,136.7,102.3,55.8,48.4,120.4,91.3,avrg
231.2,86.3,107.6,95.1,29.3,90.2,104.3,159.7,90.7,143.7,77.5,99.2,heavy
115.7,58.9,79.5,51.8,95.4,68.6,152,137.6,95.5,134.8,219.4,96.1,heavy
96.9,86.2,82.7,56.3,48,37.1,143.6,80.9,127.4,108.4,177.4,50.2,avrg
90,141.7,88.8,35.5,120.1,94.2,109.9,165.3,121.1,120.5,120.3,138.4,heavy
92.5,41.5,26.8,134.7,74.8,141,135.8,127,85.9,128.2,101.2,194.1,avrg
112.5,53.8,63,73.9,81.8,42.5,85.6,54.4,55.3,156.2,71.7,214.3,avrg
199.7,168.3,82.7,74.3,68.6,79.1,67.3,153.5,27.3,177.5,149.2,110.6,heavy
148,66.8,99.5,52.1,108.2,64.1,148.6,97,44.5,78.8,171.7,269.7,heavy
263.3,96.7,61.1,89.2,44.4,102.7,101.7,72.4,85.5,73.5,85.4,84.6,avrg
58.1,109.5,88.4,27.5,43.5,149.6,82.4,104.5,111.9,97.5,93.4,73.9,avrg
111.7,62.4,114.5,72.4,34.1,60.1,64.8,69.2,93.1,97.1,156.6,84.9,avrg
41.3,60.5,123.7,54.1,103.6,96.4,102.8,156.2,104.3,107.5,136.8,117.4,avrg
107.5,211.7,65.1,16.7,46.8,98.1,114.7,125.3,65.4,212.3,90.2,175.2,heavy
108.8,144.4,85.9,23.3,133,29.5,81.3,87.2,80.7,176.8,81,101.3,avrg
48.2,150.5,64.1,59,78.1,54.4,59.8,65.2,138.3,149.5,191.3,127.6,avrg
105.7,49.8,110.1,65.9,36.5,53.4,136.6,81.2,123.6,283.1,212.4,271.2,heavy
